Family,Feature,IBSI ID,IBSI,HABIT,PyRadiomics,Note
glrlm,HighGrayLevelRunEmphasis,G3QZ,9.7,9.69762412,9.69762412,
glrlm,ShortRunLowGrayLevelEmphasis,HTZT,0.352,0.351580276,0.351580276,
glrlm,ShortRunHighGrayLevelEmphasis,GD3A,8.54,8.539655587,8.539655587,
glrlm,LongRunLowGrayLevelEmphasis,IVPO,2.39,2.39096762,2.39096762,
glrlm,LongRunHighGrayLevelEmphasis,3KUM,17.6,17.56618866,17.56618866,
glrlm,GrayLevelNonUniformity,R5YN,21.8,21.77620074,21.77620074,
glrlm,GrayLevelNonUniformityNormalized,OVBL,0.43,0.4301751561,0.4301751561,
glrlm,RunLengthNonUniformity,W92Y,26.9,26.8533514,26.8533514,
glrlm,RunLengthNonUniformityNormalized,IC23,0.513,0.5127708186,0.5127708186,
glrlm,RunPercentage,9ZK5,0.68,0.6798336798,0.6798336798,
glrlm,GrayLevelVariance,8CE5,3.46,3.464978728,3.464978728,
glrlm,RunVariance,SXLW,0.574,0.573542283,0.573542283,
glrlm,RunEntropy,HJ9O,2.43,2.432074134,2.432074134,
glszm,LargeAreaEmphasis,48P8,550,550,550,
glszm,LowGrayLevelZoneEmphasis,XMSY,0.253,0.2527777778,0.2527777778,
glszm,HighGrayLevelZoneEmphasis,5GN9,15.6,15.6,15.6,
glszm,SmallAreaLowGrayLevelEmphasis,5RAI,0.0256,0.02560437642,0.02560437642,
glszm,SmallAreaHighGrayLevelEmphasis,HW1V,2.76,2.763345306,2.763345306,
glszm,LargeAreaLowGrayLevelEmphasis,YH51,503,502.7944444,502.7944444,IBSI rounded
glszm,LargeAreaHighGrayLevelEmphasis,J17V,1490,1494.6,1494.6,IBSI rounded
glszm,GrayLevelNonUniformity,JNSA,1.4,1.4,1.4,
glszm,GrayLevelNonUniformityNormalized,Y1RO,0.28,0.28,0.28,
glszm,SizeZoneNonUniformity,4JP3,1,1,1,
glszm,SizeZoneNonUniformityNormalized,VB3A,0.2,0.2,0.2,
glszm,ZonePercentage,P30P,0.0676,0.06756756757,0.06756756757,
glszm,GrayLevelVariance,BYLV,2.64,2.64,2.64,
glszm,ZoneVariance,3NSA,331,330.96,330.96,
glszm,ZoneEntropy,GU8N,2.32,2.321928095,2.321928095,
ngtdm,Coarseness,QCDE,0.0296,0.0296042257,0.0296042257,
ngtdm,Contrast,65HE,0.584,0.5837109156,0.5837109156,
ngtdm,Busyness,NQ30,6.54,6.543568457,6.543568457,
ngtdm,Complexity,HDEZ,13.5,13.5397636,13.5397636,
ngtdm,Strength,1X9X,0.763,0.7634954331,0.7634954331,
gldm,SmallDependenceEmphasis,SODN,0.045,0.04499635706,0.04499635706,
gldm,LargeDependenceEmphasis,IMOQ,109,109,109,
gldm,LowGrayLevelEmphasis,TL9H,0.693,0.6933183183,0.6933183183,
gldm,HighGrayLevelEmphasis,OAE7,7.66,7.662162162,7.662162162,
gldm,SmallDependenceLowGrayLevelEmphasis,EQ3F,0.00963,0.009630607594,0.009630607594,
gldm,SmallDependenceHighGrayLevelEmphasis,JA6D,0.736,0.7361715884,0.7361715884,
gldm,LargeDependenceLowGrayLevelEmphasis,NBZI,102,102.4508258,102.4508258,IBSI rounded
gldm,LargeDependenceHighGrayLevelEmphasis,9QMG,235,234.9864865,234.9864865,
gldm,GrayLevelNonUniformity,FP8K,37.9,37.91891892,37.91891892,
gldm,DependenceNonUniformity,Z87G,4.86,4.864864865,4.864864865,
gldm,DependenceNonUniformityNormalized,OKJI,0.0657,0.06574141709,0.06574141709,
gldm,DependenceEntropy,FCBV,4.4,4.40373838,4.40373838,
glszm,SmallAreaEmphasis,P001,0.255,0.2551820408,0.2551820408,
